id,age,gender,activities,bike,run,swim,other,1s_critical_power,15s_critical_power,2m_critical_power,3m_critical_power,5m_critical_power,8m_critical_power,10m_critical_power,20m_critical_power,30m_critical_power,1m_peak_wpk,5m_peak_wpk,10m_peak_wpk,20m_peak_wpk,30m_peak_wpk,
d3b0412a-0ca1-4062-b174-c0b4a76b945e,37,M,190,0,187,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9bdd724b-4148-4bee-9344-9e7a526c7fc1,36,M,21,21,0,0,0,681.0,500.13333,302.2,294.05,285.92333,267.99375,263.05167,230.6275,223.83444,5.09851,4.26751,3.92614,3.4422,3.34081,
f43673fa-600b-4b0b-8c3a-ef627347ebe1,46,M,227,3,78,14,132,599.0,562.6,273.13333,259.45,258.35667,252.4,251.075,244.57583,237.47556,4.73721,3.69107,3.64966,3.55519,3.45198,
18f038c9-9eef-47c7-8bcc-69287a903a1e,31,M,62,0,0,0,62,994.0,843.86667,405.80833,396.75,388.93,381.34792,350.98667,300.83333,286.28167,6.32561,4.74305,4.28033,3.6687,3.49124,
e3c630c7-5048-44ed-a7bb-5a35b3d8cac9,47,M,1299,5,0,0,1294,2819.0,875.00413,472.33333,447.33333,397.7,350.60417,335.36818,315.70375,308.87306,7.62577,5.23289,4.41274,4.154,4.06412,
f81b4144-4805-4086-a516-9e348a702e91,55,M,276,276,0,0,0,943.0,698.53333,348.61667,314.81667,275.14667,267.19583,261.48833,244.235,235.00389,6.38254,4.36741,4.15061,3.87675,3.73022,
34d0b9f3-3952-4bab-aa8b-b8d84f966192,37,M,654,567,34,0,53,1162.0,793.4,371.06667,331.48889,315.09667,278.39792,269.74167,242.34917,240.89222,8.24062,5.38627,4.61097,4.0731,4.04861,
025bad5c-1cfc-4c22-a2e3-2be1ccb70008,42,M,1632,1083,542,3,4,1212.0,541.06667,351.04167,348.03889,336.80667,330.34167,327.395,324.01417,323.98111,5.76245,5.46764,5.31485,5.25997,5.25943,
1b5177e3-e424-4ec0-a52a-793e61970795,43,M,609,446,104,56,3,1000.0,908.3804,516.67396,496.67818,439.55595,384.14026,354.50627,280.8199,260.59737,11.09101,7.57855,6.11218,4.84172,4.49306,
e32b8a33-c40d-4b96-bc43-5f2d3180b47c,31,M,252,248,0,0,4,1205.0,895.6,426.125,382.83889,347.72167,312.18854,307.20417,291.12375,270.94417,9.20977,5.9952,5.29662,5.01937,4.67145,
